,Author,Title paper,Journal,Year,Keywords,Co-authors,labels
18,AU=KIRIŞ ABDULKADİR,[Diagonal ear-lobe crease is associated with carotid intima-media thickness in subjects free of clinical cardiovascular disease],[ATHEROSCLEROSIS],[2007],"[carotid artery intima-media thickness, diagonal ear-lobe creases, atherosclerosis]","['Celik Sukru', 'Erdogan Turan', 'Gedikli Omer', 'Kiris Abdulkadir', 'Erem Cihangir']",1.0
19,AU=KÜÇÜKBAYRAK ABDULKADİR,[Multiple brain abscesses and mastoiditis due to Morganella morgonii after chronic otitis media - Case report and literature review],[NEUROSURGERY QUARTERLY],[2007],"[Morganella morganii, subdural abscesses, parenchymal abscess, mastoiditis, chronic otitis media]","['Kucukbayrak Abdulkadir', 'Ozdemir Davut', 'Yildirim Mustafa', 'Guclu Ertugrul', 'Erdogmus Besir', 'Akgul Mehmet', 'Gezen Ferruh']",1.0
20,AU=KÜÇÜKBAYRAK ABDULKADİR,[Hand carriage of Candida species and risk factors in hospital personnel],[MYCOSES],[2007],"[Candida carriage, hospital personnel, risk factors]","['Yildirim Mustafa', 'Sahin Idris', 'Kucukbayrak Abdulkadir', 'Ozdemir Davut', 'Yavuz M. Tevfik', 'Oksuz Sukru', 'Cakir Selma']",1.0
21,AU=KÜÇÜKBAYRAK ABDULKADİR,[Comparison of classical methods versus BACTEC blood culture system for culture of normally sterile body fluids],[RUSSIAN OPEN MEDICAL JOURNAL],[2015],"[sterile body fluids, BACTEC, blood culture bottle, cerebro spinal fluids]","['Mengeloglu Zafer', 'Tas Tekin', 'Bucak Ozlem', 'Kocoglu Esra', 'Kucukbayrak Abdulkadir']",1.0
22,AU=KÜÇÜKBAYRAK ABDULKADİR,[Impact of antimicrobial drug restrictions on doctors' behaviors],[TURKISH JOURNAL OF MEDICAL SCIENCES],[2016],"[Antibiotic policy, antibiotic restriction, antibiotic usage, budget execution instructions, specialist]","['Karabay Oguz', 'Hosoglu Salih', 'Guclu Ertugrul', 'Akalin Serife', 'Altay Fatma Aybala', 'Aydin Emsal', 'Ceylan Bahadir', 'Celik Aygul', 'Celik Ilhami', 'Demirdal Tuna', 'Demirli Keziban', 'Erben Nurettin', 'Erkorkmaz Unal', 'Erol Serpil', 'Evirgen Omer', 'Gonen Ibak', 'Guner Ayse Ebru', 'Guven Tumer', 'Kadanali Ayten', 'Kocoglu Mucahide Esra', 'Kokoglu Omer Faruk', 'Kucukbayrak Abdulkadir', 'Sargin Fatma', 'Sunnetcioglu Mahmut', 'Senol Sebnem', 'Isikgoz Tasbakan Meltem', 'Tekin Recep', 'Turhan Vedat', 'Yilmaz Gurdal', 'Dede Behiye']",1.0
23,AU=KÜÇÜKBAYRAK ABDULKADİR,[ASCARIS LUMBRICOIDES PRESENTING AS AN OMENTAL MASS],[ACTA MEDICA MEDITERRANEA],[2014],"[Ascariasis, Omentum, Pregnancy]","['Ozyalvacli Gulzade', 'Kucukbayrak Abdulkadir', 'Uzuner Esengul', 'Ayar Erol', 'Oznur Meltem']",1.0
24,AU=YILDIRIM ABDULKADİR,[Spirulina platensis Protects against Gentamicin-induced Nephrotoxicity in Rats],[PHYTOTHERAPY RESEARCH],[2008],"[Spirulina platensis, gentamicin sulphate, nephrotoxicity, oxidative damage]","['Karadeniz Ali', 'Yildirim Abdulkadir', 'Simsek Nejdet', 'Kalkan Yildiray', 'Celebi Fikret']",1.0
25,AU=YILDIRIM ABDULKADİR,[Protective effects of N-acetylcysteine and Ginkgo biloba extract on ischaemia-reperfusion-induced hepatic DNA damage in rats],[CLINICAL AND EXPERIMENTAL MEDICINE],[2008],"[Ischaemia-reperfusion, DNA damage, 8-Hydroxydeoxyguanosine, N-acetylcysteine, Ginkgo biloba]","['Keles Mevlut Sait', 'Demirci Nizamettin', 'Yildirim Abdulkadir', 'Atamanalp Selcuk S.', 'Altinkaynak Konca']",1.0
26,AU=YILDIRIM ABDULKADİR,[Increased lipid peroxidation and decreased antioxidant response in serum and cerebrospinal fluid in acute ischemic stroke],[TURKISH JOURNAL OF MEDICAL SCIENCES],[2007],"[ischemic stroke, oxidative stress, cerebrospinal fluid, malondialdehyde, total antioxidant capacity]","['Yildirim Abdulkadir', 'Kotan Dilcan', 'Yildirim Serap', 'Ayguel Recep', 'Akcay Fatih']",1.0
27,AU=YILDIRIM ABDULKADİR,"[Total antioxidant capacity and antioxidant enzymes in serum, saliva, and gingival crevicular fluid of preeclamptic women with and without Periodontal disease]",[JOURNAL OF PERIODONTOLOGY],[2007],"[antioxidant, glutathione peroxidase, malondialdehyde, periodontal disease, preeclampsia, superoxide dismutase]","['Canakci Varol', 'Yildirim Abdulkadir', 'Canakci Cenk Fatih', 'Eltas Abubekir', 'Cicek Yasin', 'Canakci Hurneyra']",1.0
28,AU=YILDIRIM ABDULKADİR,[Periodontal disease increases the risk of severe pre-eclampsia among pregnant women],[JOURNAL OF CLINICAL PERIODONTOLOGY],[2007],"[mild pre-eclampsia, periodontal diseases, pro-inflammatory cytokines, prostaglandins, severe pre-eclampsia]","['Canakci Varol', 'Canakci Cenk Fatih', 'Yildirim Abdulkadir', 'Ingec Metin', 'Eltas Abubelkir', 'Erturk Ayse']",1.0
29,AU=ŞENGÜN ABDULKADİR,[Effect of a new restoration technique on fracture resistance of endodontically treated teeth],[DENTAL TRAUMATOLOGY],[2008],,"['Sengun Abdulkadir', 'Cobankara Funda Kont', 'Orucoglu Hasan']",1.0
30,AU=ŞENGÜN ABDULKADİR,[Bond strength of two total-etching bonding systems on caries-affected and sound primary teeth dentin],[INTERNATIONAL JOURNAL OF PAEDIATRIC DENTISTRY],[2008],,"['Tosun Gul', 'Koyuturk Alp Erdin', 'Sener Yagmur', 'Sengun Abdulkadir']",1.0
31,AU=ŞENGÜN ABDULKADİR,[Effect of storage duration/solution on microshear bond strength of composite to enamel],[DENTAL MATERIALS JOURNAL],[2007],"[storage solution, duration, bond strength]","['Tosun Gul', 'Sener Yagmur', 'Sengun Abdulkadir']",1.0
32,AU=ŞENGÜN ABDULKADİR,"[Effects of citric acid modified with fluoride, nano-hydroxyapatite and casein on eroded enamel]",[ARCHIVES OF ORAL BIOLOGY],[2018],"[Tooth erosion, Casein, Fluoride, Nano, Hydroxyapatite]","['Dundar Ayse', 'Sengun Abdulkadir', 'Baslak Canan', 'Kus Mahmut']",1.0
33,AU=ŞENGÜN ABDULKADİR,[Cytotoxicity evaluation of luting resin cements on bovine dental pulp-derived cells (bDPCs) by real-time cell analysis],[DENTAL MATERIALS JOURNAL],[2015],"[Cytotoxicity, Resin cements, Real-time cell analysis, Dental pulp-derived cells]","['Malkoc Meral Arslan', 'Demir Necla', 'Sengun Abdulkadir', 'Bozkurt Serife Buket', 'Hakki Sema Sezen']",1.0
34,AU=BEDİR ABDULKERİM,"[Assessment of genotoxicity in rats treated with the antidiabetic agent, pioglitazone]",[ENVIRONMENTAL AND MOLECULAR MUTAGENESIS],[2008],"[genotoxicity, pioglitazone, comet assay, single cell gel electrophoresis]","['Bedir Abdulkerim', 'Aliyazicioglu Yuksel', 'Bilgici Birsen', 'Yurclakul Zafer', 'Uysal Mehmet', 'Suvaci Duygu Erol', 'Okuyucu Ali', 'Kahraman Hakki', 'Hokelek Murat', 'Alvur Muhlise']",1.0
35,AU=BEDİR ABDULKERİM,[Genotoxic assessment of ulcerative colitis by comet assay],[GASTROENTEROLOGY],[2007],,"['Bedir Abdulkerim', 'Bektas Ahmet', 'Suvaci Duygu E.', 'Okuyucu Ali', 'Altintop Levent', 'Ustaoglu Muge', 'Kalayci Ayhan G.']",1.0
36,AU=BEDİR ABDULKERİM,[SAA1 alpha/alpha alleles in Behcet's disease related amyloidosis],[CLINICAL RHEUMATOLOGY],[2007],"[amyloidosis, Behcet's disease, SAA1 allele]","['Utku Umut', 'Dilek Melda', 'Akpolat Ilkser', 'Bedir Abdulkerim', 'Akpolat Tekin']",1.0
37,AU=BEDİR ABDULKERİM,[SAA1 alpha/alpha alleles in amyloidosis],[JOURNAL OF NEPHROLOGY],[2006],"[SAA1 allele, amyloidosis, familial Mediterranean fever]","['Kelkitli Engin', 'Bilgici Birsen', 'Tokgoz Bulent', 'Dilek Melda', 'Bedir Abdulkerim', 'Akpolat Ilkser', 'Utas Cengiz', 'Akpolat Tekin']",1.0
38,AU=BEDİR ABDULKERİM,[Low hair selenium and plasma glutathione peroxidase in children with chronic renal failure],[PEDIATRIC NEPHROLOGY],[2006],"[hair, selenium, glutathione peroxidase, chronic renal failure, children]","['Ortac Erol', 'Ozkaya Ozan', 'Saraymen Recep', 'Yildiz Nurdan', 'Bedir Abdulkerim', 'Buyan Necla', 'Bek Kenan', 'Okuyucu Ali', 'Baysal Kemal']",1.0
39,AU=AKPINAR ABDULLAH,[Sexual dysfunctions in patients with neurodermatitis and psoriasis],[JOURNAL OF SEX & MARITAL THERAPY],[2008],,"['Mercan Sibel', 'Altunay Ilknur Kivanc', 'Demir Basaran', 'Akpinar Abdullah', 'Kayaoglu Semra']",1.0
40,AU=AKPINAR ABDULLAH,[Sexual dysfunction in female patients with panic disorder alone or with accompanying depression],[INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE],[2006],"[sexual problems, panic disorder, anxiety, depression, ASEX]","['Mercan Sibel', 'Karamustafalioglu Oguz', 'Ayaydin Esber Baki', 'Akpinar Abdullah', 'Goksan Burcu', 'Gonenli Sinem', 'Guven Tugba']",1.0
41,AU=AKPINAR ABDULLAH,[How are characteristics of urban green space related to levels of physical activity: Examining the links],[INDOOR AND BUILT ENVIRONMENT],[2017],"[Urban green space, Characteristics, Physical activity, Developing countries, Turkey]","['Akpinar Abdullah', 'Cankurt Murat']",1.0
42,AU=AKPINAR ABDULLAH,[Shared Obsessive-Compulsive Disorder: A Case Report],[DUSUNEN ADAM-JOURNAL OF PSYCHIATRY AND NEUROLOGICAL SCIENCES],[2015],"[Obsessive-compulsive disorder, shared disorders, shared psychotic disorder]","['Akpinar Abdullah', 'Tanritanir Bilal', 'Balaban Hasan', 'Demirdas Arif', 'Demirci Kadir']",1.0
43,AU=AKPINAR ABDULLAH,"[Urban green spaces for children: A cross-sectional study of associations with distance, physical activity, screen time, general health, and overweight]",[URBAN FORESTRY & URBAN GREENING],[2017],"[Urban green spaces, Children, Physical activity, Screen time, General health, Overweight, Turkey]",['Akpinar Abdullah'],1.0
44,AU=BAL ABDULLAH,[Hyperspectral target detection using Gaussian filter and post-processing],[OPTICS AND LASERS IN ENGINEERING],[2008],"[correlation, Gaussian filter, hyperspectral image processing, noise, target detection]","['Alam Mohammad S.', 'Islam Mohammed Nazrul', 'Bal Abdullah', 'Karim Mohammad A.']",1.0
45,AU=BAL ABDULLAH,[Improved multiple target tracking via global motion compensation and optoelectronic correlation],[IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS],[2007],"[fringe-adjusted filter (FAF), global motion compensation, joint transform correlation (JTC), optoelectronic target detection technique, target tracking]","['Alam Mohammad S.', 'Bal Abdullah']",1.0
46,AU=BAL ABDULLAH,[A new approach for border detection of the Dumluca (Turkey) iron ore area: Wavelet cellular neural networks],[PURE AND APPLIED GEOPHYSICS],[2007],"[Bouguer anomaly maps, border detection, cellular neural network, wavelet, backpropagation, Dumluca ion ore]","['Albora A. Muhittin', 'Bal Abdullah', 'Ucan Osman N.']",1.0
47,AU=BAL ABDULLAH,[Image feature extraction by dynamic neural filtering and phase-only joint transform correlation],[OPTICS AND LASER TECHNOLOGY],[2007],"[image feature extraction, dynamic neural network, phase-only joint transform correlator]",['Bal Abdullah'],1.0
48,AU=BAL ABDULLAH,[Improving SVDD classification performance on hyperspectral images via correlation based ensemble technique],[OPTICS AND LASERS IN ENGINEERING],[2017],"[Classification, Data fusion, Ensemble method, Hyperspectral images, Support Vector Data Description]","['Uslu Faruk Sukru', 'Binol Hamidullah', 'Ilarslan Mustafa', 'Bal Abdullah']",1.0
49,AU=ŞENGÜL ABDULLAH,"[Once-monthly paliperidone palmitate in early stage schizophrenia - a retrospective, non-interventional 1-year study of patients with newly diagnosed schizophrenia]",[NEUROPSYCHIATRIC DISEASE AND TREATMENT],[2017],"[long-acting antipsychotic, early diagnosis, schizophrenia, paliperidone palmitate]","['Emsley Robin', 'Hargarter Ludger', 'Bergmans Paul', 'Uglesic Boran', 'Sengul Abdullah Cem', 'Petralia Antonino', 'Khannanova Angelina', 'Cherubin Pierre', 'Schreiner Andreas']",1.0
50,AU=ŞENGÜL ABDULLAH,[Temporomandibular Osteoma Mimicking Trigeminal Neuralgia],[TURKISH JOURNAL OF NEUROLOGY],[2017],"[Trigeminal neuralgia, osteoma, atypical facial pain, pregabalin]","['Karaoglan Mustafa', 'Tutar Suleyman', 'Sengul Abdullah Murat', 'Tekeli Hakan', 'Togrol Rifat Erdem']",1.0
51,AU=ŞENGÜL ABDULLAH,[A CONTEMPORARY THEATRE AUTHOR: REMZI OZCELIK],[TURKIYAT ARASTIRMALARI DERGISI-JOURNAL OF STUDIES IN TURKOLOGY],[2015],"[Remzi Ozcelik, Turkish culture, theatre, Haci Bektas, Ahi Evran, Ahmet Yesevi, Mehmet Akif]",['Sengul Abdullah'],1.0
52,AU=DEMİR ABDULLAH,[Seroma with fibrous capsule required surgical resection],[TRAKYA UNIVERSITESI TIP FAKULTESI DERGISI],[2008],"[seroma, breast cancer, mastectomy]","['Ulucanlar Haluk', 'Agac Aybala', 'Kutun Suat', 'Demir Abdullah', 'Yukruk Fusun Ardis', 'Cetin Abdullah']",1.0
53,AU=DEMİR ABDULLAH,[Relationship between methylene blue values of concrete aggregate fines and some concrete properties],[CANADIAN JOURNAL OF CIVIL ENGINEERING],[2008],"[methylene blue dye test, clay, fine aggregate, strength, durability]","['Topcu Ilker Bekir', 'Demir Abdullah']",1.0
54,AU=DEMİR ABDULLAH,[Conventional and high intensity halogen light effects on water sorption and microhardness of orthodontic adhesives],[ANGLE ORTHODONTIST],[2008],"[water sorption, vickers hardness, halogen, composites]","['Uysal Tancan', 'Basciftci Faruk Ayhan', 'Sener Yagmur', 'Botsali Murat Selim', 'Demir Abdullah']",1.0
55,AU=DEMİR ABDULLAH,[Durability of rubberized mortar and concrete],[JOURNAL OF MATERIALS IN CIVIL ENGINEERING],[2007],,"['Bekir Topcu Ilker', 'Demir Abdullah']",1.0
56,AU=DEMİR ABDULLAH,[Conventional and high-intensity halogen light effects on polymerization shrinkage of orthodontic adhesives],[ANGLE ORTHODONTIST],[2006],"[polymerization shrinkage, quartz halogen, light intensity]","['Sener Yagmur', 'Uysal Tancan', 'Basciftci Farulk Ayhan', 'Demir Abdullah', 'Botsali Murat Selim']",1.0
57,AU=DOĞAN ABDULLAH,[High resting heart rate: a cardiovascular risk factor or a marker of risk?],[EUROPEAN HEART JOURNAL],[2008],,"['Ozaydin Mehmet', 'Peker Oktay', 'Erdogan Dogan', 'Turker Yasin', 'Dogan Abdullah', 'Varol Ercan']",1.0
58,AU=DOĞAN ABDULLAH,"[Effect of L-carnitine supplementation on biochemical, haematological and pathological parameters of quails (Coturnik coturnix japonica) during chronic aflatoxicosis]",[KAFKAS UNIVERSITESI VETERINER FAKULTESI DERGISI],[2007],"[aflatoxin, L-carnitine, biochemistry, haematology, pathology, quail]","['Citil Mehmet', 'Karapehlivan Mahmut', 'Tuzcu Mehmet', 'Dogan Abdullah', 'Uzlu Erdogan', 'Atakisi Emine', 'Kanici Ayse', 'Uzun Metehan']",1.0
59,AU=DOĞAN ABDULLAH,[Late in-stent coronary dissection in an elderly woman: An interesting case report],[INTERNATIONAL JOURNAL OF CARDIOLOGY],[2008],"[in-stent dissection, re-stenting, coronary angiography]","['Dogan Abdullah', 'Turker Yasin', 'Ozaydin Mehmet', 'Acar Gurkan', 'Kahraman Halil']",1.0
60,AU=DOĞAN ABDULLAH,"[N-acetylcysteine for the prevention of postoperative atrial fibrillation: a prospective, randomized, placebo-controlled pilot study]",[EUROPEAN HEART JOURNAL],[2008],"[N-acetylcysteine, cardiac surgery, atrial fibrillation]","['Ozaydin Mehmet', 'Peker Oktay', 'Erdogan Dogan', 'Kapan Sahin', 'Turker Yasin', 'Varol Ercan', 'Ozguner Fehmi', 'Dogan Abdullah', 'Ibrisim Erdogan']",1.0
61,AU=DOĞAN ABDULLAH,[Comparison of neopterin levels in patients with coronary artery ectasia versus patients with obstructive coronary artery disease],[SOUTHERN MEDICAL JOURNAL],[2008],"[coronary artery ectasia, neopterin, coronary artery disease]","['Sahin Mehmet', 'Varol Ercan', 'Ozaydin Mehmet', 'Altinbas Ahmet', 'Aydin Osman', 'Aslan Suleyman M.', 'Dogan Abdullah', 'Kaya Selcuk']",1.0
62,AU=EKİZER ABDULLAH,[Light Emitting Diode Mediated Photobiomodulation Therapy Improves Orthodontic Tooth Movement and Miniscrew Stability: A Randomized Controlled Clinical Trial],[LASERS IN SURGERY AND MEDICINE],[2016],"[LED, tooth movement, miniscrew, stability, orthodontics]","['Ekizer Abdullah', 'Turker Gokhan', 'Uysal Tancan', 'Guray Enis', 'Tasdemir Zekeriya']",1.0
63,AU=EKİZER ABDULLAH,[Pharyngeal airway effects of Herbst and skeletal anchored Forsus FRD EZ appliances],[INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY],[2016],"[Pharyngeal airway, Fixed functional treatment, Herbst]","['Celikoglu Mevlut', 'Buyuk Suleyman Kutalmis', 'Ekizer Abdullah', 'Unal Tuba']",1.0
64,AU=EKİZER ABDULLAH,[Natural head position and lower incisor irregularity],[JOURNAL OF OROFACIAL ORTHOPEDICS-FORTSCHRITTE DER KIEFERORTHOPADIE],[2016],"[Incisor crowding, Posture, Sex characteristics, Orthordontics, Craniofacial morphology]","['Uysal Tancan', 'Yagci Ahmet', 'Ekizer Abdullah', 'Usumez Serdar']",1.0
65,AU=EKİZER ABDULLAH,[Treatment effects of skeletally anchored Forsus FRD EZ and Herbst appliances: A retrospective clinical study],[ANGLE ORTHODONTIST],[2016],"[Skeletal anchorage, Forsus FRD EZ, Herbst, Class II malocclusion]","['Celikoglu Mevlut', 'Buyuk Suleyman Kutalmis', 'Ekizer Abdullah', 'Unal Tuba']",1.0
66,AU=EKİZER ABDULLAH,"[Re: Response to: Bone marrow mesenchymal stem cells enhance bone formation in orthodontically expanded maxillae in rats. Abdullah Ekizer, Mehmet Emir Yalvac, Tancan Uysal, Mehmet Fatih Sonmez, Fikrettin Sahin. The Angle Orthodontist. Online Early]",[ANGLE ORTHODONTIST],[2015],,['Ekizer Abdullah'],1.0
67,AU=ERDİL ABDULLAH,[The Seroprevalence of Antibodies to Toxoplasma Gondii Among Children with Autism],[DUSUNEN ADAM-JOURNAL OF PSYCHIATRY AND NEUROLOGICAL SCIENCES],[2017],"[Autism, autism spectrum disorder, toxoplasmosis, Toxoplasma Gondii]","['Esnafoglu Erman', 'Demir Esra Yancar', 'Cetinkol Yeliz', 'Calgin Mustafa Kerem', 'Erdil Abdullah', 'Erturk Emine Yurdakul', 'Dagli Abdullah']",1.0
68,AU=ERDİL ABDULLAH,[Increased Serum Zonulin Levels as an Intestinal Permeability Marker in Autistic Subjects],[JOURNAL OF PEDIATRICS],[2017],,"['Esnafoglu Erman', 'Cirrik Selma', 'Ayyildiz Sema Nur', 'Erdil Abdullah', 'Erturk Emine Yurdakul', 'Dagli Abdullah', 'Noyan Tevfik']",1.0
69,AU=ERDİL ABDULLAH,"[Evaluation of serum Neuron-specific enolase, S100B, myelin basic protein and glial fibrilliary acidic protein as brain specific proteins in children with autism spectrum disorder]",[INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE],[2017],"[Autism spectrum disorder, Brain specific proteins, Neuron specific enolase, Glial fibrillary acidic protein, Myelin basic protein, S100B]","['Esnafoglu Erman', 'Ayyildiz Sema Nur', 'Cirrik Selma', 'Erturk Emine Yurdakul', 'Erdil Abdullah', 'Dagli Abdullah', 'Noyan Tevfik']",1.0
70,AU=ERDİL ABDULLAH,[Plasma Kisspeptin Levels in Newborn Infants with Breast Enlargement],[JOURNAL OF CLINICAL RESEARCH IN PEDIATRIC ENDOCRINOLOGY],[2015],"[Kisspeptin, newborn, breast enlargement]","['Kaya Avni', 'Orbak Zerrin', 'Polat Harun', 'Cayir Atilla', 'Erdil Abdullah', 'Doneray Hakan']",1.0
