,Author,Title paper,Journal,Year,Keywords
1384,AU=Choi Youn-Jeng,[Automating Simulation Research for Item Response Theory using R],[INTERNATIONAL JOURNAL OF ASSESSMENT TOOLS IN EDUCATION],[2018],"[IRT, Simulation, R]"
1385,AU=Choi Youn-Jeng,[Moral growth mindset is associated with change in voluntary service engagement],[PLOS ONE],[2018],
1386,AU=Choi Youn-Jeng,"[Using factor analysis to validate the Clance Impostor Phenomenon Scale in sample of science, technology, engineering and mathematics doctoral students]",[PERSONALITY AND INDIVIDUAL DIFFERENCES],[2018],"[Impostor syndrome, Clance Impostor Phenomenon Scale, Confirmatory factor analysis]"
1387,AU=Choi Youn-Jeng,"[Physics Instructional Resource Usage by High-, Medium-, and Low-Skilled MOOC Students]",[PHYSICS TEACHER],[2017],
1388,AU=Choi Youn-Jeng,[To draw or not to draw? Examining the necessity of problem diagrams using massive open online course experiments],[PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH],[2017],
1389,AU=Papenfuss Theodore J.,[Phylogeny and biogeography of the family Salamandridae (Amphibia: Caudata) inferred from complete mitochondrial genomes],[MOLECULAR PHYLOGENETICS AND EVOLUTION],[2008],"[Amphibian, Salamander, Molecular dating, Timescale]"
1390,AU=Papenfuss Theodore J.,[Introduced delicacy or native species? A natural origin of Bermudian terrapins supported by fossil and genetic data],[BIOLOGY LETTERS],[2008],"[introduced species, radiocarbon, turtle, Gulf Stream, Malaclemys terrapin, mangrove]"
1391,AU=Papenfuss Theodore J.,[Evolution of mitochondrial relationships and biogeography of Palearctic green toads (Bufo viridis subgroup) with insights in their genomic plasticity],[MOLECULAR PHYLOGENETICS AND EVOLUTION],[2006],"[polyploidy, d-loop, phylogeny, population genetics, palearctic, phylogeography]"
1392,AU=Papenfuss Theodore J.,[Assembly of the eastern North American herpetofauna: new evidence from lizards and frogs],[BIOLOGY LETTERS],[2006],"[Reptilia, Amphibia, North America, biogeography, phylogeny]"
1393,AU=Papenfuss Theodore J.,"[A molecular assessment of phylogenetic relationships and lineage accumulation rates within the family Salamandridae (Amphibia, Caudata)]",[MOLECULAR PHYLOGENETICS AND EVOLUTION],[2006],"[lineage accumulation, mitochondrial DNA, newt, salamander, Salamandridae]"
1394,AU=Bilkay Cemil,[The Morphological Anatomy of the Menisci of the Knee Joint in Human Fetuses],[BALKAN MEDICAL JOURNAL],[2017],"[Foetus, meniscus, fetal development]"
1395,AU=Bilkay Cemil,[Appearance of external genital organs and types of hymen in Turkish female foetal cadavers],[JOURNAL OF OBSTETRICS AND GYNAECOLOGY],[2017],"[Female external genitalia, foetal development, prenatal diagnosis, hymen]"
1396,AU=Bilkay Cemil,[Autonomic dysfunction in patients with essential tremor],[NEUROLOGICAL SCIENCES],[2017],"[Essential tremor, Autonomic dysfunction, R-R interval variation, Sympathetic skin response]"
1397,AU=Karasu Sezgin,"[""Surgical management of bronchiectasis in childhood"" (vol 31, pg 120, 2007)]",[EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY],[2007],
1398,AU=Karasu Sezgin,[Surgical management of bronchiectasis in childhood],[EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY],[2007],"[childhood bronchiectasis, lung infections, tuberculosis]"
1399,AU=Karasu Sezgin,[Is open surgery necessary for metastatic pulmonary tumors evaluated with thorax tomography?],[TURK GOGUS KALP DAMAR CERRAHISI DERGISI-TURKISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY],[2018],"[Metastasectomy, pulmonary metastases, thoracotomy]"
1400,AU=Karasu Sezgin,[Montelukast attenuates radioactive I131-induced pulmonary damage on rats],[INTERNATIONAL JOURNAL OF RADIATION BIOLOGY],[2018],"[Radioprotectors, pulmonary damage, montelukast, radioactive I131, radiation fibrosis]"
1401,AU=Karasu Sezgin,[Laparotomy in Consequence of Pure Thoracic Trauma],[JOURNAL OF CLINICAL AND ANALYTICAL MEDICINE],[2015],"[Thoracic Injuries, Diaphragma, Laparotomy]"
1402,AU=Turkmen Aygen,[Effects of local anesthetics on wound healing],[REVISTA BRASILEIRA DE ANESTESIOLOGIA],[2018],"[Local anesthesia, Wound tension strength, Levobupivacaine, Bupivacaine, Lidocaine, Prilocaine]"
1403,AU=Turkmen Aygen,[Retrospective analysis of patients undergoing venous port catheter implantation],[CUKUROVA MEDICAL JOURNAL],[2017],
1404,AU=Turkmen Aygen,[Parkinson's disease and anesthesia],[CUKUROVA MEDICAL JOURNAL],[2016],
1405,AU=Turkmen Aygen,[Esophageal squamous papilloma],[CUKUROVA MEDICAL JOURNAL],[2016],
1406,AU=Turkmen Aygen,[Our intraoperative boost radiotherapy experience and applications],[TURKISH JOURNAL OF SURGERY],[2016],"[Breast cancer, boost radiotherapy, intraoperative radiotherapy, local recurrence]"
1407,AU=Atilgan Serhat,[Microbiologic and histologic assessment of intentional bacterial contamination of bone grafts],[JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY],[2007],
1408,AU=Atilgan Serhat,[Systemic and local zoledronic acid treatment with hydroxyapatite bone graft: A histological and histomorphometric experimental study],[EXPERIMENTAL AND THERAPEUTIC MEDICINE],[2016],"[hydroxyapatite bone graft, zoledronic acid, rat calvarium, critical-sized defect]"
1409,AU=Atilgan Serhat,[Effects of Sildenafil on Dental Pulp: Immunohistochemical and Ultrastructural Evaluation],[INTERNATIONAL JOURNAL OF MORPHOLOGY],[2016],"[Sildenafil, Dental pulp, Morphological changes, Immunohistochemical study, Ultrastructural study]"
1410,AU=Atilgan Serhat,[Effects of caffeic acid phenethyl ester on palatal mucosal defects and tooth extraction sockets],[DRUG DESIGN DEVELOPMENT AND THERAPY],[2014],"[caffeic acid phenyl ester, palatal mucosa, tooth extraction socket, healing]"
1411,AU=Atilgan Serhat,[Long-term effects of antihypertensive medications on bone mineral density in men older than 55 years],[CLINICAL INTERVENTIONS IN AGING],[2014],"[bone mineral density, CBCT, beta blockers, calcium channel blockers]"
1412,AU=Bicer Mustafa B.,[Implementation of the inverse circular radon transform-based imaging approach for breast cancer screening],[INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING],[2018],"[breast cancer, circular imaging, measurement prototype, microwave imaging, parallel process, SAR]"
1413,AU=Bicer Mustafa B.,[ASSESMENT OF ACCURATE DIELECTRIC MODEL AND SELECTED PATENTS ON MICROWAVE BREAST CANCER DETECTION],[TEHNICKI GLASNIK-TECHNICAL JOURNAL],[2015],"[microwave imaging, malignant tissue, benign tissue, debye model, dielectric model]"
1414,AU=Bicer Mustafa B.,[A Matching-Pursuit Based Approach for Detecting and Imaging Breast Cancer Tumor],[PROGRESS IN ELECTROMAGNETICS RESEARCH M],[2018],
1415,AU=Bicer Mustafa B.,[ANN surface roughness prediction of AZ91D magnesium alloys in the turning process],[MATERIALS TESTING],[2017],"[Magnesium alloy, AZ91D, artificial neural network, surface roughness, property prediction]"
1416,AU=Bicer Mustafa B.,[An Experimental Study on Microwave Imaging of Breast Cancer with the use of Tumor Phantom],[APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL],[2017],"[Breast cancer, breast phantom, imaging algorithm, microwave imaging, radar-based imaging]"
1417,AU=Ozdek Ali,[Injectable form of cross-linked hyaluronan is effective for middle ear wound healing],[ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY],[2007],"[adhesion, hyaluronan, hyaluronic acid, middle ear, ototoxicity, tympanoplasty]"
1418,AU=Ozdek Ali,[Evaluation of vestibular system with vHIT in industrial workers with noise-induced hearing loss],[EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY],[2018],"[Video head impulse test, Noise exposure, Hearing loss, Vestibular dysfunction, vHIT]"
1419,AU=Ozdek Ali,[Does AHI Value Enough for Evaluating the Obstructive Sleep Apnea Severity?],[INDIAN JOURNAL OF OTOLARYNGOLOGY AND HEAD & NECK SURGERY],[2015],"[Obstructive sleep apnea syndrome, Daytime sleepiness, Epworth Sleepiness Scale, Nocturnal hypoxemia]"
1420,AU=Ozdek Ali,[Stentless endoscopic repair of congenital choanal atresia: is it enough for maintaining choanal patency?],[EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY],[2017],"[Choanal atresia, Endoscopic repair, Stent, Restenosis, Transnasal]"
1421,AU=Ozdek Ali,[Correlation of o-VEMP and v-HIT Test Results with Caloric Test Results iSn Peripheral Vestibular Disorders],[JOURNAL OF ACADEMIC RESEARCH IN MEDICINE-JAREM],[2017],"[Caloric test, ocular VEMP, video head impulse test, peripheral vestibular disorder, vestibular hypofunction, canal paralysis]"
1422,AU=Akdemir Auzhan,[THE EFFECT OF COOLING RATE ON MICROSTRUCTURE AND MECHANICAL PROPERTIES OF Al-Mg-Si (6063) ALLOY],[PAMUKKALE UNIVERSITY JOURNAL OF ENGINEERING SCIENCES-PAMUKKALE UNIVERSITESI MUHENDISLIK BILIMLERI DERGISI],[2015],"[Aluminium alloy, Cooling rate, Mechanical properties]"
1423,AU=Ocguder Ali,[Silent swelling of the Tibia in a 43-year-old man - Paget's disease of the tibia],[CLINICAL ORTHOPAEDICS AND RELATED RESEARCH],[2008],
1424,AU=Ocguder Ali,[The evaluation of trauma patients in Turkish Red Crescent Field Hospital following the Pakistan earthquake in 2005],[INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED],[2007],"[Pakistan, earthquake, field hospital, trauma]"
1425,AU=Ocguder Ali,[Significant associated MRI findings in patients with anterior cruciate ligament stump entrapment],[SKELETAL RADIOLOGY],[2016],"[ACL, Stump entrapment, MRI, Knee locking, Knee ligaments]"
1426,AU=Ocguder Ali,"[Bilateral, locked, recurrent anterior shoulder dislocation: case report]",[EKLEM HASTALIKLARI VE CERRAHISI-JOINT DISEASES AND RELATED SURGERY],[2015],"[Epileptic seizure, shoulder dislocation, shoulder joint/surgery]"
1427,AU=Ocguder Ali,[Ilizarov external fixator in the management of tibial pilon fractures: ankle hinged vs ankle fixed frame],[EKLEM HASTALIKLARI VE CERRAHISI-JOINT DISEASES AND RELATED SURGERY],[2013],"[Ankle, external fixator, Ilizarov, tibial pilon]"
1428,AU=Aydintan Erkan,[Anthropometric evaluation of the creches children furniture in Turkey],[COLLEGIUM ANTROPOLOGICUM],[2006],"[anthropometry, creches, design, Turkey]"
1429,AU=Aydintan Erkan,[The Impact of Basic Design Studio Courses on Interior Design: KTU Model],[7TH WORLD CONFERENCE ON EDUCATIONAL SCIENCES],[2015],"[Basic design, Design, Creativit, Design studio, Interior design]"
1430,AU=Sayek Iskender,[Effects of honey as a scolicidal agent on the hepatobiliary system],[WORLD JOURNAL OF GASTROENTEROLOGY],[2008],"[scolocidal agent, honey, hepato biliary system]"
1431,AU=Sayek Iskender,[The effects of scolicidal agent propolis on liver and biliary tree],[JOURNAL OF GASTROINTESTINAL SURGERY],[2008],"[propolis, scolicidal agent, hepatobiliary system, hydatid disease, sclerosing cholangitis]"
1432,AU=Sayek Iskender,[Is there a correlation between extroversion personality characteristics of medical students and awareness of works of art?],[TURKISH JOURNAL OF MEDICAL SCIENCES],[2007],"[extroversion personality characteristics, works of art, awareness]"
1433,AU=Sayek Iskender,[Quality assurance standards task force - Global standards: Route for accreditation in medical education in Europe],[TURKISH JOURNAL OF MEDICAL SCIENCES],[2007],
1434,AU=Sayek Iskender,[Serum endostatin levels and regenerative capacities of normal and cirrhotic livers following partial hepatectomy in micel: The response to different resection sizes],[JOURNAL OF SURGICAL RESEARCH],[2007],"[angiogenesis, endostatin, hepatectomy, liver regeneration, cirrhosis]"
1435,AU=Burton Mark,[The ideal contract roundtable],[REFORMS IN PUBLIC TRANSPORT],[2008],
1436,AU=Burton Mark,[Understanding participation in social programs: Why don't households pick up the lifeline?],[B E JOURNAL OF ECONOMIC ANALYSIS & POLICY],[2007],"[lifeline, participation, take rates]"
1437,AU=Burton Mark,[Induced deficits in speed perception by transcranial magnetic stimulation of human cortical areas V5/MT+ and V3A],[JOURNAL OF NEUROSCIENCE],[2008],"[transcranial magnetic stimulation, fMRI, retinotopic mapping, psychophysics, speed perception, V5/MT+, V3A]"
1438,AU=Burton Mark,[Psychologists and national security],[PSYCHOLOGIST],[2007],
1439,AU=Burton Mark,[Psychologists and torture - More than a question of interrogation],[PSYCHOLOGIST],[2007],
1440,AU=Uzer Ali Ulvi,"[Geotechnical and mineralogical properties of Konyaalti (Antalya, Turkey) clays]",[ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING],[2008],"[Antalya, Konyaalti, geotechnical properties, soft clay]"
1441,AU=Uzer Ali Ulvi,[THEORETICAL AND EXPERIMENTAL INVESTIGATION ABOUT THE LAGOON CLAYS OF THE KONYAALTI REGION IN ANTALYA],"[10TH INTERNATIONAL MULTIDISCIPLINARY SCIENTIFIC GEOCONFERENCE: SGEM 2010, VOL I]",[2010],"[lagoon clays, soft soils, Antalya]"
1442,AU=Uzer Ali Ulvi,[Assessment of sand stabilization potential of a plant-derived biomass],[SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS],[2016],"[biomaterial, coproduct, sand, shear strength, stability, unpaved roads]"
1443,AU=Uzer Ali Ulvi,[Use of biofuel co-product for pavement geo-materials stabilization],[CIVIL ENGINEERING INNOVATION FOR A SUSTAINABLE],[2015],"[Soil Stabilization, Biofuel Co-Products, Shear Test, Biomass, Lignin]"
1444,AU=Uzer Ali Ulvi,[Strength performance of Iowa soils stabilized with biofuel industry co-product],[CIVIL ENGINEERING INNOVATION FOR A SUSTAINABLE],[2015],"[Renewable energy, Biofuel, Co-product, Soil stabilization, Lignin, Pavement]"
1445,AU=Griffiths Helen,[Is the generation of neo-antigenic determinants by free radicals central to the development of autoimmune rheumatoid disease?],[AUTOIMMUNITY REVIEWS],[2008],"[reactive oxygen species, reactive nitrogen species, protein oxidation, autoantigen, neo-antigenic determinant, DNA oxidation]"
1446,AU=Griffiths Helen,[What is geography's contribution to making citizens?],[GEOGRAPHY],[2008],
1447,AU=Griffiths Helen,[Dietary enrichment with almonds reduces oxidative stress and improves vascular function],[FREE RADICAL RESEARCH],[2007],
1448,AU=Griffiths Helen,[Gingipains from Porphyromonas gingivalis increase the chemotactic and respiratory burst-priming properties of the 77-amino-acid interleukin-8 variant],[INFECTION AND IMMUNITY],[2008],
1449,AU=Griffiths Helen,[A comparison of the apoptotic and cytotoxic effects of hexanedione derivatives on human non-neuronal lines and the neuroblastoma line SH-SY5Y],[BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY],[2008],
1450,AU=Karaveli Cagdas,[Laparoscopic appendectomy without clip or ligature. An experimental study],[SURGICAL ENDOSCOPY AND OTHER INTERVENTIONAL TECHNIQUES],[2008],"[laparoscopy, appendectomy, bipolar coagulation]"
1451,AU=Karaveli Cagdas,[Does noncomplicated acute appendicitis cause bacterial translocation?],[PEDIATRIC SURGERY INTERNATIONAL],[2007],"[appendicitis, bacterial translocation]"
1452,AU=Karaveli Cagdas,[Trace elements and oxidant-antioxidant levels in the etiology of indirect inguinal hernia],[TRACE ELEMENTS AND ELECTROLYTES],[2016],"[indirect inguinal hernia, superoxide dismutase, glutathione peroxidase, catalase, malondialdehyde, zinc, copper]"
1453,AU=Senol Fatma Sezer,"[Amberboin and lipidiol: X-ray crystalographic data, absolute configuration and inhibition of cholinesterase]",[PHYTOCHEMISTRY LETTERS],[2018],"[Amberboin, Lipidiol, Volutaria abyssinica, Natural products, Acetylcholinesterase, Butyrylcholinesterase, Molecular modeling]"
1454,AU=Senol Fatma Sezer,[Neuroprotective potential of the fruit (acorn) from Quercus coccifera L.],[TURKISH JOURNAL OF AGRICULTURE AND FORESTRY],[2018],"[Alzheimer disease, cholinesterase inhibition, neurodegeneration, Quercus coccifera]"
1455,AU=Senol Fatma Sezer,"[In Vitro Antioxidant and Cytotoxic Activities of 18 Plants from the Erkowit Region, Eastern Sudan]",[NATURAL PRODUCTS AND BIOPROSPECTING],[2018],"[Antioxidant activity, Cytotoxicity, Pharmacognosy, Plant extract]"
1456,AU=Senol Fatma Sezer,[Cholinesterase Inhibitory Activity of Some Semi-rigid Spiro Heterocycles: POM Analyses and Crystalline Structure of Pharmacophore Site],[MINI-REVIEWS IN MEDICINAL CHEMISTRY],[2018],"[Alzheimer's disease (AD), cholinesterases, crystalline structure, Petra/Osiris/Molinspiration (POM) analyses, spiro heterocycles, pharmacophore]"
1457,AU=Senol Fatma Sezer,[Phenolic Acid Profile and in vitro Neurobiological Effect of Phlomis grandiflora HS Thompson var. grandiflora],[JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN],[2018],"[Phlomis grandiflora, neurobiological activity, enzyme inhibition, antioxidant activity, phenolic acid]"
1458,AU=Ince Nevin Koc,"[Quality of life and related factors among chronic hepatitis B-infected patients: a multi-center study, Turkey]",[HEALTH AND QUALITY OF LIFE OUTCOMES],[2016],"[Chronic hepatitis B infection, Quality of life, The Hepatitis B Quality of Life Instrument, Turkey]"
1459,AU=Dulger Mahmut,[Bacterial Uropathogens Causing Urinary Tract Infection and Their Resistance Patterns Among Children in Turkey],[IRANIAN RED CRESCENT MEDICAL JOURNAL],[2016],"[Uropathogens, Antibiotic, Resistance, Children]"
1460,AU=Dulger Mahmut,[Serum Sodium Levels in Children with Lung Infections],[JOURNAL OF PEDIATRIC INFECTION],[2016],"[Hyponatremia, pneumonia, acute-phase reactants]"
1461,AU=Dulger Mahmut,[Nosocomial Clustering of Pandemic Influenza A (H1N1) Virus Infection as a Source of Fever in Patients with Hematological Malignancy],[UHOD-ULUSLARARASI HEMATOLOJI-ONKOLOJI DERGISI],[2012],"[Influenza, Nosocomial infection, H1N1, Immunosupression]"
1462,AU=Okdem Selcuk,[Routing in wireless sensor networks using ant colony optimization],"[AHS 2006: First NASA/ESA Conference on Adaptive Hardware and Systems, Proceedings]",[2006],
1463,AU=Okdem Selcuk,[Routing Operations in Wireless Body Area Networks with Fuzzy Logic Approach],[2017 INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND ENGINEERING (UBMK)],[2017],"[body area network, routing techniques, wireless communication]"
1464,AU=Okdem Selcuk,[A real-time noise resilient data link layer mechanism for unslotted IEEE 802.15.4 networks],[INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS],[2017],"[IEEE 802.15.4 MAC, IEEE 802.15.4 data link layer, LR-WPANs, frame size]"
1465,AU=Okdem Selcuk,[A cross-layer adaptive mechanism for low-power wireless personal area networks],[COMPUTER COMMUNICATIONS],[2016],"[Cross-layer communication, IEEE 802.15.4-based protocols, Wireless personal area networks]"
1466,AU=Okdem Selcuk,[ADAPTIVE DATA SEQUENCE GENERATOR FOR NOISY SIGNALS IN LOW RATE WIRELESS PERSONAL AREA NETWORKS],[JOURNAL OF THE FACULTY OF ENGINEERING AND ARCHITECTURE OF GAZI UNIVERSITY],[2015],"[Wireless personal area networks, media access control performance, pseudo noise chip sequences, cross-layer communication]"
1467,AU=Pourmorad Sepehr,[The production of nanocrystalline Titanium carbide compound via mechanical alloying],[LIFE SCIENCE JOURNAL-ACTA ZHENGZHOU UNIVERSITY OVERSEAS EDITION],[2012],"[Nanocrystallinematerials, Nanoparticles, Titanium carbide, Refractory compounds, Mechanical alloying]"
1468,AU=Gunes Taner,[Efficacy of proximal tibial focal-dome type osteotomy on medial joint laxity],[EKLEM HASTALIKLARI VE CERRAHISI-JOINT DISEASES AND RELATED SURGERY],[2008],"[knee, osteoarthritis, medial collateral ligament, osteotomy]"
1469,AU=Gunes Taner,[Comparison of modified Lindgren-Turan operation and proximal crescentic osteotomy combined with distal soft tissue procedure in the treatment of hallux vaigus],[EKLEM HASTALIKLARI VE CERRAHISI-JOINT DISEASES AND RELATED SURGERY],[2008],"[hallux valgus, metatarsal osteotomy, distal soft tissue]"
1470,AU=Gunes Taner,"[Data on axial alignment of the lower extremity of individuals living in the district of Tokat, Turkey]",[EKLEM HASTALIKLARI VE CERRAHISI-JOINT DISEASES AND RELATED SURGERY],[2008],"[biomechanics, knee joint/anatomy & histology, leg/anatomy & histology/radiography, reference values]"
1471,AU=Gunes Taner,[Quality of life in patients with varus gonarthrosis treated with high tibial osteotomy using the circular external fixator],[KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY],[2008],"[quality of life, SF-36, varus gonarthrosis, Ilizarov, surgery]"
1472,AU=Gunes Taner,[Arthroscopic excision of the osteoid osteoma at the distal femur],[KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY],[2008],"[osteoid osteoma, knee, arthroscopy, treatment, surgery]"
1473,AU=Oner Gizem,[High expression of pdl-1 in patients with triple negative breast cancer with residual tumor burden after neoadjuvant chemotherapy.],[JOURNAL OF CLINICAL ONCOLOGY],[2018],
1474,AU=Oner Gizem,[Improved False-Negative Rates with Intraoperative Identification of Clipped Nodes in Patients Undergoing Sentinel Lymph Node Biopsy After Neoadjuvant Chemotherapy],[ANNALS OF SURGICAL ONCOLOGY],[2018],
1475,AU=Oner Gizem,[Improved false negative rates with intra-operative identification of clipped nodes in patients undergoing SLNB after neoadjuvant chemotherapy],[ANNALS OF SURGICAL ONCOLOGY],[2018],
1476,AU=Oner Gizem,[Is Cholecystectomy Alone Enough To Prevent Acute Biliary Pancreatitis Attack?],[JOURNAL OF THE PANCREAS],[2017],"[Cholecystectomy, Pancreatitis, Recurrence]"
1477,AU=Oner Gizem,[Favorable Outcome with Close Margins in Patients Undergoing Nipple/Skin Sparing Mastectomy with Immediate Breast Reconstruction: 5-year Follow-up],[BALKAN MEDICAL JOURNAL],[2018],"[Breast implants, mastectomy, subcutaneous, breast reconstruction, surgical margin, local recurrence]"
1478,AU=Gok Soner,"[A population-based questionnaire study on the prevalence and epidemiology of burn patients in Denizli, Turkey]",[JOURNAL OF BURN CARE & RESEARCH],[2008],
1479,AU=Gok Soner,[Application of bioimpedance analysis for assessment of volume status in hemodialysis patients: Comparison with echocardiographic parameters],[NEPHROLOGY DIALYSIS TRANSPLANTATION],[2007],
1480,AU=Gok Soner,[Assessing factors associated with infertility using a couple-based approach],[INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS],[2017],"[Dyadic perspective, FertiQoL, Infertility, Quality of life, Stress burden of infertility]"
1481,AU=Gok Soner,[A late complication of transobturator tape procedure: vaginocutaneous fistula formation with vaginal mesh erosion],[INTERNATIONAL UROGYNECOLOGY JOURNAL],[2014],"[Transobturator tape, Mesh, Extrusion, Fistula, Complication]"
1482,AU=Gok Soner,[Non-immune hydrops fetalis without anemia due to parvovirus B19],[INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS],[2014],"[Non-immune hydrops fetalis, Parvovirus B19, Pregnancy]"
1483,AU=Akpinar Cetin Kursad,[Epileptic seizure associated with drugs: Report of two cases],[EUROPEAN JOURNAL OF THERAPEUTICS],[2015],"[Doxorubicin, epileptic seizure, maprotiline]"
1484,AU=Akpinar Cetin Kursad,[Metoclopramide-induced oculogygyric crisis: Report of three cases],[EUROPEAN JOURNAL OF THERAPEUTICS],[2016],"[Acute dystonic reaction, metoclopramide, oculogyric crisis]"
1485,AU=Akpinar Cetin Kursad,[THE RELATIONSHIP BETWEEN DIAGNOSIS AND SEVERITY OF ISCHEMIC STROKE AND SERUM UROTENSIN-II LEVELS],[ACTA MEDICA MEDITERRANEA],[2018],"[urotensin-II, ischemic stroke, severity, cardioembolic stroke]"
1486,AU=Akpinar Cetin Kursad,[Moderate to Severe Anemia Is Associated with Poor Functional Outcome in Acute Stroke Patients Treated with Mechanical Thrombectomy],[INTERVENTIONAL NEUROLOGY],[2018],"[Acute stroke, Functional outcome, Mechanical thrombectomy, Anemia]"
1487,AU=Akpinar Cetin Kursad,[Tolosa-Hunt Syndrome - Cranial Neuroimaging Findings],[NOROPSIKIYATRI ARSIVI-ARCHIVES OF NEUROPSYCHIATRY],[2017],"[Diagnosis, dynamic contrast MRI, Tolosa-Hunt protocol, Tolosa-Hunt syndrome]"
1488,AU=Tutar Ercan,[Acremonium spp. peritonitis in an infant],[MYCOSES],[2008],
1489,AU=Tutar Ercan,[The incidence and follow-up of isolated ventricular septal defect in newborns by echocardiographic screening],[TURKISH JOURNAL OF PEDIATRICS],[2008],"[echocardiography, newborn, ventricular septal defect, incidence]"
1490,AU=Tutar Ercan,[Global left-ventricular function by tissue Doppler imaging in pediatric dialysis patients],[PEDIATRIC NEPHROLOGY],[2008],"[Myocardial Performance Index, Tissue-Doppler imaging, end-stage renal disease, left-ventricular mass index, left-ventricular hypertrophy]"
1491,AU=Tutar Ercan,[Diffuse supravalvular aortic stenosis with multiple stenoses of the branches of arcus aorta in a child],[PEDIATRIC CARDIOLOGY],[2008],"[diffuse supravalvular aortic stenosis, stenosis of the branches of arcus aorta, coronary artery dilatation]"
1492,AU=Tutar Ercan,[Diagnostic tools in the preoperative evaluation of children with anomalous pulmonary venous connections],[INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING],[2008],"[anomalous pulmonary venous connections, computed tomography angiography, echocardiography, magnetic resonance angiography]"
1493,AU=Pfander Goetz E.,[Identification of Matrices Having a Sparse Representation],[IEEE TRANSACTIONS ON SIGNAL PROCESSING],[2008],"[Basis pursuit, channel measurements and estimation, random matrices, time-frequency shift matrices]"
1494,AU=Pfander Goetz E.,[A discrete model for the efficient analysis of time-varying narrowband communication channels],[MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING],[2008],"[communication channel model, spreading function, discretization, Hilbert-Schmidt operators, gabor systems]"
1495,AU=Pfander Goetz E.,[Uncertainty in time-frequency representations on finite Abelian groups and applications],[APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS],[2008],"[uncertainty principles, short-time Fourier transforms, Gabor frames, sparsity, signal recovery]"
1496,AU=Pfander Goetz E.,"[On the invertibility of ""rectangular"" bi-infinite matrices and applications in time-frequency analysis]",[LINEAR ALGEBRA AND ITS APPLICATIONS],[2008],"[slanted/skew diagonal matrices, Gabor frames, operator identification, Kohn-Nirenberg symbol, spreading function]"
1497,AU=Pfander Goetz E.,[Measurement of time-variant linear channels],[IEEE TRANSACTIONS ON INFORMATION THEORY],[2006],"[bandlimited Kohn-Nirenberg symbols, channel measurement, Gabor and time-frequency analysis, operator identification, spreading functions, underspread operators]"
1498,AU=Sanas Madiha,[EFFECT OF DIVERSE REGIMES OF IRRIGATION ON METALS ACCUMMULATION IN WHEAT CROP: AN ASSESSESSMENT-DIRE NEED OF THE DAY],[FRESENIUS ENVIRONMENTAL BULLETIN],[2018],"[Triticum aestivum L, Wastewater, Contaminated soil, Physicochemical parameters, Health risk index]"
1499,AU=Uyanik Abdullah,"[Evaluation of nitric oxide synthase activity, nitric oxide, and homocysteine levels in patients with active Behcet's disease]",[CLINICAL RHEUMATOLOGY],[2008],"[Free radicals, Homocysteine, Nitric oxide, Nitric oxide synthase, Oxidative stress]"
1500,AU=Uyanik Abdullah,"[The effects of essential amino acid supplementation on serum albumin, prealbumin and c-reactive protein levels in chronic hemodialysis patients]",[NEPHROLOGY DIALYSIS TRANSPLANTATION],[2006],
1501,AU=Uyanik Abdullah,[Effect of metformin/irinotecan-loaded poly-lactic-co-glycolic acid nanoparticles on glioblastoma: in vitro and in vivo studies],[NANOMEDICINE],[2018],"[brain tumor, Cavalieri's principle, irinotecan, metformin, nanoparticles, PLGA]"
1502,AU=Uyanik Abdullah,[Compatibility of Lauge-Hansen Classification Between Plain Radiographs and Magnetic Resonance Imaging in Ankle Fractures],[JOURNAL OF FOOT & ANKLE SURGERY],[2018],"[deltoid ligament, ligamentous injury, medial malleolus, supination-external rotation]"
1503,AU=Uyanik Abdullah,[Factors affecting patient survival and technical survival in patients undergoing peritoneal dialysis],[INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE],[2017],"[Peritoneal dialysis, dropout, patient survival, technical survival]"
